Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pasir Ris (West),2011,4,1,5,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,2,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,3,2.4,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,4,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,5,27.4,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,6,4.2,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,7,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,8,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,9,27.4,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,10,67.6,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,11,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,12,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,13,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,14,85.5,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,15,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,16,8.4,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,17,3,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,18,1,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,19,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,20,29.6,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,21,0.2,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,22,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,23,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,24,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,25,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,26,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,27,2.4,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,28,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,29,11.4,—,—,—,—,—,—,—,—
Pasir Ris (West),2011,4,30,0.8,—,—,—,—,—,—,—,—
