Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Panjang,2012,2,1,0,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,2,7.8,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,3,0,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,4,1,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,5,0,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,6,4.8,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,7,0,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,8,0,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,9,0,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,10,0,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,11,0,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,12,0,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,13,0,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,14,0,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,15,1.6,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,16,0,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,17,12.4,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,18,24.4,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,19,0,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,20,1.8,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,21,0.8,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,22,0.2,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,23,0,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,24,0,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,25,0,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,26,1,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,27,0.2,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,28,0.2,—,—,—,—,—,—,—,—
Bukit Panjang,2012,2,29,6.8,—,—,—,—,—,—,—,—
