Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Dhoby Ghaut,2018,8,1,1.2,0.4,0.6,0.8,—,—,—,—,—
Dhoby Ghaut,2018,8,2,0,0,0,0,—,—,—,—,—
Dhoby Ghaut,2018,8,3,0,0,0,0,—,—,—,—,—
Dhoby Ghaut,2018,8,4,0,0,0,0,—,—,—,—,—
Dhoby Ghaut,2018,8,5,5,3.2,3.2,3.2,—,—,—,—,—
Dhoby Ghaut,2018,8,6,0,0,0,0,—,—,—,—,—
Dhoby Ghaut,2018,8,7,0,0,0,0,—,—,—,—,—
Dhoby Ghaut,2018,8,8,3,2.8,2.8,2.8,—,—,—,—,—
Dhoby Ghaut,2018,8,9,0,0,0,0,—,—,—,—,—
Dhoby Ghaut,2018,8,10,0,0,0,0,—,—,—,—,—
Dhoby Ghaut,2018,8,11,0,0,0,0,—,—,—,—,—
Dhoby Ghaut,2018,8,12,0,0,0,0,—,—,—,—,—
Dhoby Ghaut,2018,8,13,0,0,0,0,—,—,—,—,—
Dhoby Ghaut,2018,8,14,0,0,0,0,—,—,—,—,—
Dhoby Ghaut,2018,8,15,0,0,0,0,—,—,—,—,—
Dhoby Ghaut,2018,8,16,0,0,0,0,—,—,—,—,—
Dhoby Ghaut,2018,8,17,8.4,8.2,8.4,8.4,—,—,—,—,—
Dhoby Ghaut,2018,8,18,0,0,0,0,—,—,—,—,—
Dhoby Ghaut,2018,8,19,0,0,0,0,—,—,—,—,—
Dhoby Ghaut,2018,8,20,0,0,0,0,—,—,—,—,—
Dhoby Ghaut,2018,8,21,0,0,0,0,—,—,—,—,—
Dhoby Ghaut,2018,8,22,33.2,17.8,20.2,20.8,—,—,—,—,—
Dhoby Ghaut,2018,8,23,0.2,0.2,0.2,0.2,—,—,—,—,—
Dhoby Ghaut,2018,8,24,16.4,13.4,15.4,15.6,—,—,—,—,—
Dhoby Ghaut,2018,8,25,0.2,0.2,0.2,0.2,—,—,—,—,—
Dhoby Ghaut,2018,8,26,0,0,0,0,—,—,—,—,—
Dhoby Ghaut,2018,8,27,0,0,0,0,—,—,—,—,—
Dhoby Ghaut,2018,8,28,0,0,0,0,—,—,—,—,—
Dhoby Ghaut,2018,8,29,0,0,0,0,—,—,—,—,—
Dhoby Ghaut,2018,8,30,0,0,0,0,—,—,—,—,—
Dhoby Ghaut,2018,8,31,4,3.6,4,4,—,—,—,—,—
