Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Toa Payoh,2018,8,1,1.6,0.4,0.8,1.2,—,—,—,—,—
Toa Payoh,2018,8,2,0,0,0,0,—,—,—,—,—
Toa Payoh,2018,8,3,0,0,0,0,—,—,—,—,—
Toa Payoh,2018,8,4,0,0,0,0,—,—,—,—,—
Toa Payoh,2018,8,5,9.8,3.8,6.2,6.8,—,—,—,—,—
Toa Payoh,2018,8,6,0,0,0,0,—,—,—,—,—
Toa Payoh,2018,8,7,0,0,0,0,—,—,—,—,—
Toa Payoh,2018,8,8,3.2,2.8,2.8,2.8,—,—,—,—,—
Toa Payoh,2018,8,9,0,0,0,0,—,—,—,—,—
Toa Payoh,2018,8,10,0,0,0,0,—,—,—,—,—
Toa Payoh,2018,8,11,0,0,0,0,—,—,—,—,—
Toa Payoh,2018,8,12,0,0,0,0,—,—,—,—,—
Toa Payoh,2018,8,13,0,0,0,0,—,—,—,—,—
Toa Payoh,2018,8,14,0,0,0,0,—,—,—,—,—
Toa Payoh,2018,8,15,0,0,0,0,—,—,—,—,—
Toa Payoh,2018,8,16,0,0,0,0,—,—,—,—,—
Toa Payoh,2018,8,17,0.4,0.4,0.4,0.4,—,—,—,—,—
Toa Payoh,2018,8,18,0,0,0,0,—,—,—,—,—
Toa Payoh,2018,8,19,0,0,0,0,—,—,—,—,—
Toa Payoh,2018,8,20,0.2,0.2,0.2,0.2,—,—,—,—,—
Toa Payoh,2018,8,21,0,0,0,0,—,—,—,—,—
Toa Payoh,2018,8,22,31.8,23,24,24.4,—,—,—,—,—
Toa Payoh,2018,8,23,0.2,0.2,0.2,0.2,—,—,—,—,—
Toa Payoh,2018,8,24,10.6,8.2,8.2,8.4,—,—,—,—,—
Toa Payoh,2018,8,25,0,0,0,0,—,—,—,—,—
Toa Payoh,2018,8,26,0,0,0,0,—,—,—,—,—
Toa Payoh,2018,8,27,0,0,0,0,—,—,—,—,—
Toa Payoh,2018,8,28,0,0,0,0,—,—,—,—,—
Toa Payoh,2018,8,29,0,0,0,0,—,—,—,—,—
Toa Payoh,2018,8,30,0,0,0,0,—,—,—,—,—
Toa Payoh,2018,8,31,0.4,0.2,0.4,0.4,—,—,—,—,—
